RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
102001,0,United States,country,,14668.07592533637,14945.842056467307,15125.711132926968,15007.95131379608,14542.453113320289,13925.4219772511,13684.457913621378,13668.847575619357,13629.207484957695,13291.160671107502,13344.877676883167,13646.945496933387,14172.15371885451,14476.825151403618,14775.532960887424,14804.969315931923,14487.472199202704,13954.415807184814,13762.953055718901,13574.672581722809,13418.367216594846,12868.871204505813,13094.913775466326,14283.704555153154,15081.763358890812,14718.994350405834,13895.192726728768,13965.253185504213,15031.109749959645,15882.161240005757,16679.76888952486,16962.977074351464,16838.431493180742,16510.400319185774,17076.39854306725,18278.548750272534,19899.847156276297,21472.389677298695,22906.161298490188,23531.357368594618,22814.345844081516,21464.33548380817,20410.443723982597,19790.944470333536,19320.94566812312,18583.235578460542,19021.107641300787,21369.247949035518,24739.680156687187,26516.950632088116,26943.781401574335,26292.199435178747,25201.1409098752,23227.72006150534,21517.12096194173,20807.551735323275,20261.264724390992,19377.784599177707,19157.23382203435
394913,1,"New York, NY",msa,NY,39436.87064673295,39820.673103452544,39650.57002380251,37115.64687734336,34155.709321428825,30885.634419329814,31271.969387322457,32064.891007666545,33664.7680863566,32381.74589087421,32868.60056293046,32815.520497450525,33740.74789110681,33746.48267010356,33931.92684064957,33188.86934126957,31237.581305296346,28873.85999002782,29571.09384048091,30501.11038097667,32162.4678069763,31185.759560085484,31892.51391821736,33443.18809795266,33494.45791213057,31199.172130244162,29009.512035271182,28812.714575464455,31034.14496902109,32737.550110546774,35727.61906786874,37264.87880216315,38500.422162119154,37597.27289982541,38060.3178532545,39652.206828268216,41208.0405191526,43109.36712371648,43371.2256800969,42984.18474042544,40146.46566785098,37617.62291295693,37798.191308844296,38780.726106631606,39866.07435626548,38914.43742043446,40042.00969313478,,72040.53791488425,74256.2149806624,62951.73833493635,50562.04452970301,47760.721632365836,42524.75523628726,41503.069036031804,42741.311549751954,44592.22482678254,42121.4264552617,42607.9315350348
753899,2,"Los Angeles, CA",msa,CA,44820.20342768711,43563.04510204997,43375.40575166014,42113.069723607674,39234.31062969053,35823.10150697079,34515.97741288791,34351.72511442702,35409.71471647405,34176.261475595755,34620.156155398356,34639.98040059792,36175.39263237473,36728.00910086435,37703.890152102664,38396.650685345194,38288.697475914894,37584.24305077161,38064.7938296049,38006.125637234196,39607.18770218888,38320.55912483083,41132.34270871081,46590.34877815467,50357.803548145275,47879.015942938546,41174.45720592258,40389.367319827805,43297.578477589246,48639.9827405874,50926.94433421021,51436.7816464704,50647.82628441635,50474.28151706045,54255.564228549636,57520.69416064546,63490.80661929678,66953.49385489659,69425.05971367993,69801.85225429873,66775.67819705234,62637.86830953229,57532.84294866915,56847.23403242969,56858.04309536398,56335.82748150005,61993.50284659485,70589.3125661892,77582.76157692018,75947.84912142168,70937.40318392949,66373.14823415269,59666.37385587659,54237.09748864363,50787.32992868077,50610.40614785329,50700.98678565829,48907.31641067904,50661.26257446399
394463,3,"Chicago, IL",msa,IL,12415.627446778728,13023.392015558062,13267.98556016572,13241.713718508798,12701.101798448828,11855.022242026374,11464.237322102512,11043.888183784089,10740.451041851922,10035.370263865661,10408.07570944172,11126.672284143933,12048.120646474386,12398.12565275988,12680.018857496398,12794.476677123457,12407.673391004928,11666.517898402622,11332.880242242527,10966.981646796849,10632.17112332894,9695.188185309204,9844.625952821965,10974.629272702708,11885.124725869699,11706.23794283773,11043.938042837837,11230.281773806773,12039.993745609137,12554.812538935947,12757.103039027852,12476.776145144611,11871.910421731574,11219.684561533286,11395.68775696843,12365.711077800015,14031.882353334227,15179.217902574868,16198.993331859796,16365.467598081961,15886.091013492782,14848.078730397994,14014.502562902655,13472.476509116008,12890.759940957563,12015.942683182386,11914.377257262779,12718.265958417092,14792.02288800045,16424.67638427535,17781.473902388316,17683.58255855393,17008.717477755967,15453.21537841316,14480.788879806465,13891.271125459316,13432.899361517231,12527.918786356537,12380.184334723439
394514,4,"Dallas, TX",msa,TX,12578.20406031575,12725.988139612158,12892.375575367818,12323.929392608634,11560.4592593416,10633.957505900844,10201.526970433515,10115.212872841665,10186.88779150721,9930.979554640966,9941.986427603455,10220.389616930079,10705.878018789745,11000.85488070803,11155.98778798715,11040.039635280773,10632.893255889097,10090.064485856446,9937.23325406253,9797.744268252014,9704.291763667128,9250.367200397335,9181.406163645623,9744.328250449571,10414.203832901565,10367.509657369505,10076.547170220441,10235.644169909523,10919.917513255967,11322.824348593698,11606.785751578836,12091.86154151307,12542.780890354597,12672.276162954817,13112.649179050137,14050.207309675488,15500.21374875416,16963.5750496768,18705.93425999237,19755.476236706265,19072.886974643738,17914.410693020534,16802.28804778947,16707.44556936029,16762.10958160993,16737.835349747274,17695.05974747761,19289.514898040903,20342.43407560411,21475.709275654048,21917.257086060825,22765.57176081781,21488.828249789567,19443.921103867833,17309.581583829397,16380.247577020169,15711.271514852247,15004.925216136382,14588.292861394211
394692,5,"Houston, TX",msa,TX,14404.246526427336,14297.572384200525,14289.299642208038,13966.255007312904,13167.970117616112,12535.1311615218,12562.518374280102,12803.818032558396,13018.077208337772,12640.857956811276,12860.330549340433,12942.353180999888,13195.847930554919,13190.451340937609,13343.821355027409,13190.074989658593,12562.28099629114,11837.334224141465,11646.185213034361,11508.157701885115,11576.017614340299,11256.989907800858,11314.876946720446,12175.420987303185,12894.988425042155,13299.495271545393,12891.11980339544,12829.919992895042,12903.76997367388,12975.857071582031,13130.20904914011,13378.815172476485,13395.083012596619,13570.843081515764,14050.415987137647,14747.215372014043,15820.643695613888,16863.167188348703,18533.84460333679,19479.03159233178,19202.81058739832,18196.526363643967,17450.950652249652,17373.503628837105,17373.470148477143,16816.268248922566,17469.34690215484,18101.154855731394,19105.610910056548,19638.20687914095,20434.355390197696,20632.377885833685,19364.026564097465,17574.10540907239,15970.432587850277,15256.356363448533,15165.62708174609,15160.453256449808,15317.87171209415
395209,6,"Washington, DC",msa,VA,17227.355106396877,17340.014009149054,17394.85462341474,17213.934775824586,16427.411984236915,15250.658515181198,14955.580517846953,14990.898419359937,15532.14960711333,15435.483144322303,15694.366869098632,15984.53589303087,16713.798132487136,17338.808114943517,17918.240496852133,17827.007571409675,17171.432474365425,16080.527484290556,15947.387727052444,16441.337718881878,16731.32677166899,16172.147531303213,16652.37560925483,18955.654070759545,20244.16438468496,19398.869356179624,17796.171192750302,18140.369934392165,19951.016544190705,21008.91781775646,21086.47850399447,19744.824840312365,18488.76308598651,17598.592928913775,18926.05613671526,20235.16227952819,21111.909019693474,22379.40519616296,23601.290459065884,24277.856314376957,22390.383565357977,20086.297677945095,18830.548622540857,18393.229517132208,18463.461724292487,18031.040825274278,18596.46625384349,19509.435800325056,22142.069926170527,23789.90915727973,25447.216814821848,25067.33611258148,23862.002931098395,21770.10037745503,20374.426706486523,19931.001960067766,20032.69983210467,19297.823035584108,19635.02280833012
394856,7,"Miami, FL",msa,FL,24118.924607672525,23443.754162594007,23133.54458513549,22266.278447686364,21213.949536062595,19814.746664242517,19017.722518834937,19054.250864339487,19802.233966159252,20891.938166269272,21599.079168397362,22238.070450691146,22048.926207061824,21953.22337465837,21434.891271952085,20640.58578665237,19889.159722129923,19087.17736512601,19370.451311286,19687.940650045268,20679.006896250783,21277.12240916054,22495.375261605077,24480.421350866756,25143.424829200387,23466.882019104534,21645.143988114094,20567.074158109466,20972.30551431984,20633.858314405723,20946.61892240334,21283.99576805792,21209.5750238902,21204.13187166052,22435.361595470797,22652.72470227013,23563.010458200937,23468.495243728587,25194.233205755256,26891.983645678356,27822.17763545531,28301.967922188196,27704.285259971686,27656.952924097754,27980.569335115113,28562.619710522442,30484.922869041926,33867.49109733737,39151.98248977432,43561.80363335234,47049.7379562406,48062.307049460134,45370.02146793619,40239.84871023874,35734.67167526586,34356.38569383033,34035.42427572204,34298.00902618377,35517.2337715378
394974,8,"Philadelphia, PA",msa,PA,11140.67293361531,11375.69193876475,12184.816379289949,12633.552936958722,12837.547209482787,11997.791110260792,11840.480510157942,11828.36021192801,11803.907690089129,11256.61921245823,10996.935036930277,10981.7270948376,11246.744311624987,11809.030599720267,12651.223400236495,12915.80447782231,12572.66626736232,11879.416151004489,11893.652270113229,12003.21236971278,11869.251639798873,11034.122795047435,11115.934086122777,12410.202550012871,13273.203252664345,13208.59171626973,12206.180904158378,12525.946669683712,13482.145571774623,14354.252787588603,14746.856820471165,14458.486206436495,14245.63984883556,14040.39479083193,13943.540366562267,14301.51768221872,14698.82589189086,16208.14121892958,17322.320290379623,17925.32807760318,17120.41666820479,15846.54948859605,15288.40679518748,15057.179676378952,15001.375580746526,14268.969564249526,14021.33431314261,14245.21419156277,15433.476117935774,16440.696076480497,18026.69553750492,18059.3404333135,17959.85307168147,16417.98645598286,16162.281040886526,15808.146036630273,15903.556098360952,14937.961841637254,14419.249870261172
394347,9,"Atlanta, GA",msa,GA,13129.588121117054,13509.943585621122,13486.99073147942,13169.63048201288,12435.860814305079,11627.851359434251,10988.648252081977,10765.576910656628,10297.596037865165,9750.091854957755,9655.047326127411,10094.386065492157,10615.889920292508,10830.504377737896,10988.70482492581,11025.463025074125,10862.531603425303,10406.409400903554,10034.639206776277,9688.852298500198,9314.821129094184,8890.525522466292,9064.60023468902,10128.411762905205,11224.16660395816,11276.173938565635,11051.735259057736,11129.44378291815,12031.80368371615,12527.718103172512,12906.358036084062,13107.676439262408,13311.269980919964,13310.066440476177,14260.546672275843,15137.115855355069,17286.324643778324,18332.835159568316,20012.55396028933,20508.644328688202,20373.38686812691,19866.49507453443,18844.166745772876,18692.872238247623,17904.841037921153,17246.36009838561,16891.52718320303,17368.361964309024,18778.483899093768,19089.159562500772,19988.570963479542,19845.601173570267,19335.376415461946,17646.13032487394,16128.717003918944,15509.379675380113,15012.93957451387,14279.995050876852,14049.160464624221
